,,,,,,,Wisconsin State Climatology Office,,,,,,,,,,,
,,,,Average Temperature  [degrees Fahrenheit]: East central Wisconsin,,,,,,,,,,,,,,
,Data Source: National Centers for Environmental Information,,,,,,,,,Jan 1895 -Jun 2018,,,,,SPRING ,SUMMER,FALL ,WINTER
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,,MAM,JJA,SON,DJF
1895,10.4,10.8,26.2,44.3,55.5,65.9,65.6,66.3,62.1,40.2,29.7,22.5,41.6,,42.0,65.9,44.0,20.2
1896,18.2,19.9,24.5,46.0,60.8,64.9,68.1,67.7,54.0,42.3,28.6,23.8,43.2,,43.8,66.9,41.6,20.8
1897,17.2,21.3,25.9,41.2,51.6,60.3,70.5,63.0,63.2,51.0,30.0,16.3,42.6,,39.6,64.6,48.1,18.9
1898,20.4,20.0,33.0,41.9,53.9,64.4,68.7,65.2,61.2,45.3,31.6,15.7,43.4,,42.9,66.1,46.0,12.6
1899,13.4,8.7,19.9,45.3,54.2,64.4,68.4,68.0,55.2,50.3,38.2,20.8,42.2,,39.8,66.9,47.9,17.8
1900,20.8,11.7,23.4,44.8,55.7,63.0,66.9,72.1,60.4,54.6,29.3,23.4,43.8,,41.3,67.3,48.1,17.2
1901,17.0,11.3,26.8,44.8,53.8,64.8,72.3,67.7,58.0,48.5,30.8,18.3,42.8,,41.8,68.3,45.8,17.7
1902,18.1,16.6,34.5,42.6,55.1,59.8,68.8,63.0,55.7,47.4,39.6,19.9,43.4,,44.1,63.9,47.6,17.7
1903,15.2,18.0,35.9,42.8,54.9,60.8,67.8,62.3,57.6,46.8,29.4,13.2,42.1,,44.5,63.6,44.6,9.3
1904,8.3,6.3,27.1,37.5,54.1,62.2,66.3,63.0,57.7,46.6,36.1,18.3,40.3,,39.6,63.8,46.8,12.7
1905,9.2,10.6,30.8,42.2,51.2,62.0,66.2,66.9,60.7,45.8,32.9,24.6,41.9,,41.4,65.0,46.5,21.7
1906,22.9,17.5,22.2,44.9,52.8,62.8,67.2,69.3,63.4,46.4,33.8,22.9,43.8,,40.0,66.4,47.9,18.6
1907,14.8,18.2,33.7,34.7,46.7,62.1,67.3,63.7,57.4,44.9,32.7,23.3,41.6,,38.4,64.4,45.0,20.5
1908,19.9,18.4,31.2,43.0,54.2,62.8,68.7,66.3,64.2,48.2,34.6,20.3,44.3,,42.8,65.9,49.0,19.9
1909,18.0,21.5,27.8,37.2,51.4,63.3,67.6,68.8,57.6,43.8,39.1,15.0,42.6,,38.8,66.6,46.8,14.8
1910,15.3,14.0,39.9,44.8,49.7,65.8,71.0,67.4,57.5,50.8,28.2,18.0,43.5,,44.8,68.1,45.5,19.3
1911,16.3,23.7,31.9,41.1,58.1,67.8,69.4,65.2,58.6,45.5,27.3,26.7,44.3,,43.7,67.5,43.8,12.3
1912,-1.9,12.2,21.3,43.5,53.7,62.0,67.4,62.6,59.6,48.4,34.7,25.5,40.8,,39.5,64.0,47.6,18.6
1913,17.5,12.8,25.5,43.4,52.3,65.3,67.0,67.0,58.4,46.3,37.6,29.7,43.6,,40.4,66.4,47.4,20.7
1914,23.0,9.5,27.6,39.9,56.4,62.4,70.4,66.4,58.7,52.6,34.6,14.6,43.0,,41.3,66.4,48.6,17.9
1915,14.0,25.2,27.8,50.2,49.3,58.2,64.3,61.1,59.0,48.5,35.5,22.3,43.0,,42.4,61.2,47.7,17.6
1916,17.8,12.7,23.7,42.1,53.2,58.6,74.4,68.9,56.3,45.9,31.8,15.1,41.7,,39.7,67.3,44.7,11.1
1917,11.1,7.1,28.1,39.1,49.0,58.5,68.7,63.5,56.2,38.6,34.6,14.4,39.1,,38.7,63.6,43.1,11.4
1918,4.3,15.5,34.2,39.4,56.2,62.5,66.4,69.0,53.8,50.0,36.7,28.8,43.1,,43.3,66.0,46.8,24.1
1919,22.0,21.6,31.5,42.9,52.5,69.1,71.5,66.1,61.5,47.3,30.6,11.5,44.0,,42.3,68.9,46.5,11.6
1920,8.0,15.3,29.7,37.3,52.3,65.0,65.4,64.2,61.6,53.9,32.5,24.8,42.5,,39.8,64.9,49.3,24.0
1921,23.0,24.2,34.6,48.2,56.9,69.0,76.2,67.2,63.8,48.4,30.0,22.0,47.0,,46.6,70.8,47.4,17.3
1922,13.4,16.4,30.2,42.1,59.5,65.7,67.1,67.2,60.9,49.1,37.8,19.4,44.1,,43.9,66.7,49.3,16.6
1923,18.5,11.8,22.2,39.8,52.8,67.8,69.7,64.4,58.3,45.7,36.8,31.3,43.3,,38.3,67.3,46.9,19.5
1924,7.8,19.4,27.4,41.0,48.2,60.4,65.5,64.5,54.0,51.7,33.6,13.2,40.6,,38.9,63.5,46.4,17.0
1925,16.1,21.6,31.5,47.1,50.6,65.1,67.5,67.3,62.3,38.1,31.4,16.6,42.9,,43.1,66.6,43.9,18.2
1926,17.1,21.0,22.3,38.5,54.5,59.8,68.0,66.4,56.7,44.6,28.5,16.9,41.2,,38.4,64.7,43.3,18.4
