,,,,,,,Wisconsin State Climatology Office,,,,,,,,,,,
,,,,Average Temperature  [degrees Fahrenheit]: Southwest Wisconsin,,,,,,,,,,,,,,
,Data Source: National Centers for Environmental Information,,,,,,,,,Jan 1895 -Jun 2018,,,,,SPRING ,SUMMER,FALL ,WINTER
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,,MAM,JJA,SON,DJF
1895,9.0,10.7,30.6,50.8,59.6,69.7,71.5,71.6,66.0,42.4,31.5,23.8,44.8,,47.0,70.9,46.6,22.0
1896,19.7,22.5,27.6,51.7,65.3,68.6,71.7,70.4,56.4,44.9,28.5,26.6,46.2,,48.2,70.2,43.3,21.6
1897,15.0,23.2,29.1,46.4,57.2,66.3,74.4,66.4,67.2,53.5,30.9,16.2,45.5,,44.2,69.0,50.5,19.5
1898,21.2,21.2,35.6,45.2,58.2,69.4,72.6,69.0,63.5,45.7,31.1,15.6,45.7,,46.3,70.3,46.8,13.5
1899,15.8,9.0,22.1,48.6,58.7,68.4,71.8,71.3,58.9,53.8,39.7,19.6,44.8,,43.1,70.5,50.8,17.6
1900,21.8,11.5,25.7,49.2,60.7,67.0,70.0,75.2,62.2,57.0,29.8,23.7,46.2,,45.2,70.7,49.7,18.0
1901,18.8,11.6,29.9,47.8,58.7,69.2,78.8,70.5,59.9,51.4,31.8,18.2,45.6,,45.5,72.8,47.7,17.3
1902,18.5,15.1,36.2,45.4,60.4,62.9,71.1,66.1,57.4,50.7,39.6,17.7,45.1,,47.3,66.7,49.2,17.9
1903,17.6,18.5,37.4,47.2,60.2,63.2,70.3,66.0,59.4,49.4,30.8,13.9,44.5,,48.3,66.5,46.5,11.3
1904,9.3,10.8,30.8,41.5,57.5,65.8,68.9,65.6,61.5,50.0,37.1,19.0,43.2,,43.3,66.8,49.5,12.7
1905,8.1,11.1,35.7,45.3,56.1,66.4,69.1,70.1,63.1,47.3,34.8,24.8,44.3,,45.7,68.5,48.4,21.7
1906,21.2,19.0,23.9,49.8,57.3,65.9,69.7,71.5,64.8,48.0,33.0,23.0,45.6,,43.7,69.0,48.6,19.7
1907,15.5,20.7,37.4,39.2,50.1,64.2,70.7,67.3,59.2,46.3,33.6,25.2,44.1,,42.2,67.4,46.4,22.2
1908,20.2,21.2,34.3,45.9,57.9,64.8,70.9,68.1,65.4,49.5,36.1,22.6,46.4,,46.0,67.9,50.3,21.1
1909,18.0,22.6,29.6,40.2,56.2,66.8,70.4,72.9,59.3,46.0,40.9,13.8,44.7,,42.0,70.0,48.7,14.2
1910,14.8,14.1,44.5,50.3,53.5,68.3,74.1,70.3,60.0,52.1,28.1,18.3,45.7,,49.4,70.9,46.7,19.8
1911,16.1,24.9,35.5,43.7,63.2,71.8,72.6,67.6,61.5,46.3,27.2,26.7,46.4,,47.5,70.7,45.0,12.9
1912,-1.5,13.4,22.6,47.7,58.8,64.8,71.1,66.8,61.8,50.2,36.1,26.3,43.2,,43.0,67.6,49.4,19.7
1913,17.6,15.2,28.7,47.7,56.6,69.0,71.6,70.7,61.1,47.3,39.6,29.9,46.3,,44.3,70.4,49.3,21.6
1914,23.8,11.2,31.2,46.4,60.1,67.4,73.2,69.7,61.5,54.0,36.7,14.3,45.8,,45.9,70.1,50.7,17.7
1915,12.7,26.2,28.4,54.6,52.2,61.9,67.1,63.4,61.5,50.5,36.6,21.6,44.7,,45.1,64.1,49.5,18.2
1916,17.4,15.5,29.3,45.2,57.0,62.0,78.4,72.5,59.9,48.3,32.8,15.0,44.4,,43.8,71.0,47.0,11.8
1917,11.3,9.2,30.2,43.7,52.6,62.7,71.3,66.7,59.0,39.0,36.7,12.9,41.3,,42.2,66.9,44.9,11.7
1918,3.7,18.6,37.7,41.3,61.5,66.1,69.7,71.7,54.6,51.7,37.5,28.8,45.2,,46.8,69.2,47.9,24.7
1919,22.5,22.9,33.4,46.4,55.6,71.2,74.2,67.7,63.7,49.0,31.1,10.5,45.7,,45.1,71.0,47.9,12.4
1920,9.3,17.4,32.8,40.4,56.1,68.6,69.4,67.2,63.7,55.4,32.4,24.4,44.8,,43.1,68.4,50.5,24.9
1921,24.4,25.9,38.5,50.9,60.4,72.6,76.8,69.6,64.5,49.8,30.2,23.7,48.9,,49.9,73.0,48.2,19.8
