,,,,,,,Wisconsin State Climatology Office,,,,,,,,,,,
,,,,Average Temperature  [degrees Fahrenheit]: West central Wisconsin,,,,,,,,,,,,,,
,Data Source: National Centers for Environmental Information,,,,,,,,,Jan 1895 -Jun 2018,,,,,SPRING ,SUMMER,FALL ,WINTER
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,,MAM,JJA,SON,DJF
1895,6.2,8.6,27.7,49.4,57.7,67.5,69.1,68.9,64.1,41.3,29.9,20.1,42.5,,44.9,68.5,45.1,18.3
1896,15.5,19.4,24.5,48.0,63.0,67.4,70.2,69.2,55.1,43.0,24.0,22.4,43.5,,45.2,68.9,40.7,17.5
1897,10.9,19.3,25.0,44.6,54.8,64.2,73.3,65.2,65.5,51.4,28.1,12.3,42.9,,41.5,67.6,48.3,16.6
1898,18.6,19.0,33.6,43.8,56.7,68.0,71.5,67.7,62.0,44.4,29.4,11.2,43.8,,44.7,69.1,45.3,8.7
1899,10.3,4.7,17.6,46.7,57.1,66.9,71.0,70.4,57.2,51.5,39.1,17.5,42.5,,40.5,69.4,49.3,14.6
1900,19.1,7.2,23.6,49.7,60.2,67.1,69.9,75.0,60.5,55.8,27.6,21.0,44.7,,44.5,70.7,48.0,15.4
1901,14.8,10.4,28.0,47.8,58.4,68.5,76.6,69.9,58.8,49.5,29.9,14.7,43.9,,44.7,71.7,46.1,14.5
1902,15.5,13.2,35.3,43.6,59.2,62.3,70.3,65.3,56.1,47.6,36.6,15.3,43.4,,46.0,66.0,46.8,13.7
1903,12.7,13.0,34.4,45.1,58.1,61.9,68.5,63.4,56.7,47.3,27.7,9.6,41.5,,45.9,64.6,43.9,6.3
1904,4.9,4.5,27.3,39.6,55.7,63.8,66.2,64.3,58.2,47.3,35.7,16.9,40.4,,40.9,64.8,47.1,9.7
1905,4.0,8.2,33.2,43.1,53.4,64.5,68.3,68.5,61.1,44.4,32.8,21.5,41.9,,43.2,67.1,46.1,17.8
1906,17.8,14.2,21.3,48.1,55.1,64.9,68.3,70.0,63.2,46.1,31.4,19.7,43.3,,41.5,67.7,46.9,14.9
1907,8.8,16.2,32.0,36.8,48.1,63.9,68.6,65.8,57.4,44.6,31.9,21.8,41.3,,39.0,66.1,44.6,19.6
1908,17.4,19.5,30.2,45.4,56.5,64.3,70.2,66.6,65.2,47.9,34.2,19.0,44.7,,44.0,67.0,49.1,17.2
1909,14.7,17.8,26.6,38.2,54.4,65.8,69.7,71.9,58.6,44.6,37.3,12.1,42.6,,39.7,69.1,46.8,11.9
1910,12.2,11.3,42.8,50.1,52.6,67.8,72.1,68.0,58.8,51.2,26.7,15.9,44.1,,48.5,69.3,45.6,16.6
1911,11.3,22.6,33.9,43.6,61.9,71.4,69.9,65.8,58.8,44.5,23.3,23.7,44.2,,46.5,69.0,42.2,9.7
1912,-5.9,11.4,21.2,47.2,57.6,63.2,69.8,65.1,59.6,48.5,34.4,22.7,41.2,,42.0,66.0,47.5,15.7
1913,13.3,11.0,25.1,47.0,54.7,68.9,69.6,69.4,59.5,45.4,38.2,27.7,44.2,,42.3,69.3,47.7,18.8
1914,21.0,7.8,28.5,43.7,58.1,64.9,72.1,66.8,59.1,52.6,33.2,11.1,43.2,,43.4,67.9,48.3,15.1
1915,10.5,23.6,26.3,53.2,51.5,61.0,66.0,62.7,58.9,48.8,33.4,19.5,43.0,,43.7,63.2,47.0,14.6
1916,12.4,12.0,26.2,43.2,54.9,60.9,77.2,69.9,57.7,47.1,31.0,10.8,41.9,,41.4,69.3,45.3,7.1
1917,5.8,4.6,26.3,41.3,52.0,61.6,70.9,64.8,57.1,36.9,35.5,8.6,38.8,,39.9,65.8,43.2,8.4
1918,1.6,15.0,35.6,41.3,59.5,65.3,68.4,69.3,52.5,49.1,36.4,27.0,43.4,,45.5,67.7,46.0,21.8
1919,20.2,18.2,30.0,44.4,55.3,69.6,72.3,66.6,61.6,44.6,27.2,7.8,43.2,,43.2,69.5,44.5,9.1
1920,5.1,14.4,30.0,37.7,55.2,67.1,67.6,66.5,62.8,53.8,30.9,22.2,42.8,,41.0,67.1,49.2,21.7
1921,20.7,22.2,33.8,49.6,58.8,70.8,75.7,68.3,62.2,48.9,26.5,19.5,46.4,,47.4,71.6,45.9,13.9
1922,9.9,12.4,30.3,43.7,61.9,67.3,67.4,69.6,62.8,50.6,38.5,16.6,44.3,,45.3,68.1,50.6,13.3
1923,15.9,7.3,21.0,41.8,56.7,69.8,73.3,65.9,60.1,45.3,36.1,28.4,43.5,,39.8,69.7,47.2,16.4
1924,2.6,18.2,27.2,42.7,48.8,62.6,67.3,65.4,54.8,54.0,31.8,8.2,40.3,,39.6,65.1,46.9,13.2
1925,11.9,19.5,32.7,50.4,52.0,66.0,68.7,68.8,63.2,37.4,30.8,13.3,42.9,,45.0,67.8,43.8,15.4
1926,12.7,20.3,22.4,40.8,59.1,61.0,70.0,67.6,57.0,44.7,25.8,12.2,41.1,,40.8,66.2,42.5,14.6
1927,9.6,22.0,35.1,44.2,53.5,62.9,67.3,62.9,61.7,49.0,30.9,7.7,42.2,,44.3,64.4,47.2,14.2
1928,15.2,19.7,30.1,38.4,58.0,60.6,69.7,68.0,56.2,49.3,34.6,22.8,43.6,,42.2,66.1,46.7,9.9
1929,-0.1,6.9,31.6,45.9,52.2,63.6,70.6,67.2,58.5,46.9,27.7,17.0,40.7,,43.2,67.1,44.4,15.2
1930,4.2,24.3,30.3,46.4,57.4,66.3,72.1,70.0,59.8,46.1,35.4,20.2,44.4,,44.7,69.5,47.1,23.7
1931,21.9,29.1,29.8,46.8,53.9,70.9,73.4,67.9,65.6,51.9,38.3,27.5,48.1,,43.5,70.7,51.9,20.6
1932,17.4,17.0,20.4,43.5,57.1,69.2,71.8,69.1,57.1,44.5,28.2,14.9,42.5,,40.3,70.0,43.3,16.1
1933,22.0,11.5,28.4,42.7,57.5,74.6,73.9,67.2,64.2,44.4,29.0,16.4,44.3,,42.9,71.9,45.9,17.5
1934,20.0,16.0,26.9,43.1,65.6,71.0,73.1,66.8,57.1,50.8,36.3,12.6,44.9,,45.2,70.3,48.1,13.9
1935,8.3,20.9,31.6,42.4,51.8,62.0,75.7,69.0,59.5,46.9,28.2,16.2,42.7,,41.9,68.9,44.9,6.5
1936,4.5,-1.3,29.0,37.6,61.4,64.1,76.7,72.3,63.3,44.5,28.9,20.7,41.8,,42.7,71.0,45.6,12.3
1937,4.9,11.2,24.6,42.6,57.9,64.6,73.0,73.8,60.7,44.2,29.0,14.7,41.8,,41.7,70.5,44.6,15.8
1938,11.8,20.9,36.1,45.2,55.2,65.0,70.3,70.5,59.5,52.8,31.2,18.2,44.7,,45.5,68.6,47.8,16.2
1939,19.2,11.2,28.0,41.5,61.6,67.0,71.9,68.1,62.4,47.0,33.7,25.9,44.8,,43.7,69.0,47.7,16.6
1940,5.2,18.8,22.3,41.6,53.8,65.9,72.0,66.6,61.5,50.7,27.8,20.1,42.2,,39.2,68.2,46.7,16.7
1941,15.9,14.1,25.0,50.9,61.5,67.2,71.5,69.8,61.8,49.0,35.3,25.4,45.6,,45.8,69.5,48.7,19.8
1942,16.8,17.2,33.7,50.7,54.5,65.4,69.0,67.8,56.6,47.7,31.6,13.1,43.7,,46.3,67.4,45.3,12.3
1943,7.1,16.6,22.1,42.8,54.1,68.7,71.9,69.5,55.7,46.5,27.7,21.1,42.0,,39.7,70.0,43.3,21.6
1944,23.8,20.0,25.2,40.8,60.7,68.3,68.4,69.8,60.4,48.3,37.3,17.0,45.0,,42.2,68.8,48.7,14.6
1945,10.1,16.6,38.4,43.9,51.2,60.2,67.8,67.8,58.2,46.4,30.8,12.4,42.0,,44.5,65.3,45.1,14.7
1946,15.4,16.4,40.4,48.4,53.7,65.0,70.4,65.8,58.2,50.9,32.8,19.9,44.8,,47.5,67.1,47.3,17.3
1947,18.7,13.4,27.2,41.0,51.1,62.6,69.6,75.2,61.5,57.0,26.3,16.4,43.3,,39.8,69.1,48.3,12.5
1948,6.8,14.2,26.6,49.1,55.4,65.2,72.5,70.1,64.3,47.8,34.8,18.0,43.7,,43.7,69.3,49.0,15.4
1949,14.1,14.0,28.8,44.6,59.4,69.8,73.7,70.7,55.8,51.0,34.2,19.0,44.6,,44.3,71.4,47.0,14.1
1950,9.1,14.2,22.5,36.4,54.8,65.3,67.0,63.9,58.7,52.2,27.1,10.1,40.1,,37.9,65.4,46.0,11.2
