,,,,,,,Wisconsin State Climatology Office,,,,,,,,,,,
,,,,Average Temperature  [degrees Fahrenheit]: South central Wisconsin,,,,,,,,,,,,,,
,Data Source: National Centers for Environmental Information,,,,,,,,,Jan 1895 -Jun 2018,,,,,SPRING ,SUMMER,FALL ,WINTER
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,,MAM,JJA,SON,DJF
1895,10.6,11.2,29.5,48.0,58.4,69.6,69.5,70.4,65.5,42.1,31.4,24.6,44.2,,45.3,69.8,46.3,23.0
1896,21.5,23.0,27.9,51.8,65.7,69.1,71.9,70.5,56.9,44.6,31.3,26.7,46.7,,48.5,70.5,44.3,23.1
1897,18.3,24.2,29.5,45.7,56.7,65.5,74.1,66.4,66.5,53.5,32.3,17.2,45.8,,44.0,68.7,50.8,20.1
1898,21.5,21.7,35.8,44.9,57.3,69.0,72.3,68.5,63.0,46.4,31.5,16.7,45.7,,46.0,69.9,47.0,14.7
1899,16.3,11.2,23.7,48.9,58.4,68.6,71.5,71.1,58.3,53.4,39.3,21.8,45.2,,43.7,70.4,50.3,19.4
1900,23.4,13.1,25.9,48.0,60.6,66.5,70.0,74.6,62.5,56.1,30.7,25.0,46.4,,44.8,70.4,49.8,18.5
1901,19.2,11.4,30.2,47.0,57.8,69.5,78.6,70.2,60.5,51.3,32.1,19.4,45.6,,45.0,72.8,48.0,18.4
1902,19.5,16.2,37.2,45.8,59.7,63.1,71.2,65.9,57.5,50.2,40.8,20.1,45.6,,47.6,66.7,49.5,19.4
1903,18.3,19.8,38.7,47.3,59.7,63.1,70.4,65.5,60.0,49.4,31.5,14.6,44.9,,48.6,66.3,47.0,11.5
1904,9.6,10.3,30.7,41.0,57.3,65.6,69.1,65.6,60.7,49.1,37.6,19.3,43.0,,43.0,66.8,49.1,13.5
1905,10.1,11.0,34.6,45.2,55.8,65.8,68.9,69.2,63.1,47.3,34.6,25.3,44.2,,45.2,68.0,48.3,22.7
1906,23.4,19.4,24.7,48.6,57.3,65.1,69.2,71.0,65.2,48.6,34.4,24.4,45.9,,43.5,68.4,49.4,20.7
1907,17.3,20.4,37.6,37.8,49.9,64.4,70.3,66.2,59.2,46.1,33.7,25.5,44.0,,41.8,67.0,46.3,22.5
1908,21.5,20.4,34.4,46.1,57.6,64.7,70.6,67.9,65.9,49.7,35.8,22.6,46.4,,46.0,67.7,50.5,21.9
1909,19.7,23.4,30.4,40.5,55.4,65.8,69.9,71.4,59.5,45.2,41.4,14.7,44.8,,42.1,69.0,48.7,15.1
1910,15.6,14.9,43.4,48.9,52.6,67.0,73.9,69.8,59.9,52.4,28.7,19.1,45.5,,48.3,70.2,47.0,20.9
1911,18.4,25.3,35.3,43.7,63.0,70.9,72.6,67.9,61.8,46.9,28.3,27.9,46.8,,47.3,70.5,45.7,13.7
1912,-0.2,13.5,22.4,47.0,58.1,64.4,70.4,66.3,61.6,49.7,36.3,27.1,43.1,,42.5,67.0,49.2,20.5
1913,18.9,15.4,28.6,46.9,56.2,68.4,71.0,69.5,60.5,47.5,40.0,30.5,46.1,,43.9,69.6,49.3,22.2
1914,25.1,11.1,30.4,45.5,59.8,66.3,72.7,69.6,61.1,53.8,36.3,15.3,45.6,,45.2,69.5,50.4,18.7
1915,13.6,27.2,29.3,54.1,51.9,61.8,66.9,62.7,61.6,50.2,37.2,22.5,44.9,,45.1,63.8,49.7,19.4
1916,20.1,15.6,28.4,44.9,56.6,61.3,77.4,71.7,58.7,48.0,33.9,16.1,44.4,,43.3,70.1,46.9,12.9
1917,12.8,9.8,31.3,42.6,51.8,62.3,71.4,66.7,58.8,39.4,36.5,14.6,41.5,,41.9,66.8,44.9,12.7
1918,4.6,18.9,37.4,41.8,61.1,65.9,69.5,72.4,55.2,51.9,37.7,30.6,45.6,,46.8,69.3,48.3,25.7
1919,23.0,23.4,33.6,46.1,54.6,70.8,74.0,68.1,63.8,49.5,31.6,11.8,45.9,,44.8,71.0,48.3,12.9
1920,9.4,17.5,33.1,40.3,55.4,68.2,68.7,67.2,64.7,55.8,33.4,25.8,45.0,,42.9,68.0,51.3,25.7
1921,24.9,26.4,38.6,50.8,60.2,72.1,77.6,69.2,64.7,49.5,31.1,23.8,49.1,,49.9,73.0,48.4,20.2
1922,16.2,20.5,34.0,45.3,63.0,68.4,69.2,70.1,64.1,52.1,39.4,21.0,46.9,,47.4,69.2,51.9,18.6
1923,20.7,14.2,24.8,43.3,56.3,70.8,73.0,67.2,60.7,46.9,37.2,31.9,45.6,,41.5,70.3,48.3,21.3
1924,9.9,22.1,28.6,44.7,50.7,62.9,67.4,67.1,55.7,54.2,35.0,14.3,42.7,,41.3,65.8,48.3,18.5
1925,16.8,24.4,34.7,50.7,53.4,68.0,69.8,69.1,65.2,38.6,32.1,16.7,45.0,,46.3,69.0,45.3,20.0
1926,18.5,24.7,25.1,41.0,58.2,62.1,70.6,69.5,59.7,46.8,29.9,18.4,43.7,,41.4,67.4,45.5,20.5
