,,,,,,,Wisconsin State Climatology Office,,,,,,,,,,,
,,,,Average Temperature  [degrees Fahrenheit]: Central Wisconsin,,,,,,,,,,,,,,
,Data Source: National Centers for Environmental Information,,,,,,,,,Jan 1895 -Jun 2018,,,,,SPRING ,SUMMER,FALL ,WINTER
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,,MAM,JJA,SON,DJF
1895,8.6,9.6,27.3,47.4,57.9,68.0,67.4,67.7,64.0,40.8,30.0,21.1,42.5,,44.2,67.7,44.9,19.0
1896,16.6,19.4,24.9,48.8,63.7,67.4,69.8,68.7,54.9,43.0,26.7,22.7,43.9,,45.8,68.6,41.5,19.5
1897,15.2,20.5,25.7,43.7,54.5,63.4,72.6,63.8,64.2,51.2,28.9,14.4,43.2,,41.3,66.6,48.1,17.4
1898,18.9,18.8,33.0,43.4,56.4,67.3,71.2,65.9,61.7,44.3,30.6,13.7,43.8,,44.3,68.1,45.5,10.4
1899,11.1,6.3,18.8,46.8,56.3,66.6,70.2,69.6,55.5,51.0,38.2,18.4,42.4,,40.6,68.8,48.2,16.0
1900,20.1,9.6,23.6,47.4,59.0,65.4,68.2,73.2,60.3,55.3,28.4,21.9,44.4,,43.3,68.9,48.0,16.0
1901,15.8,10.2,27.1,47.7,57.7,67.6,75.2,68.4,58.5,49.3,30.0,15.9,43.6,,44.2,70.4,45.9,15.9
1902,16.7,15.0,35.5,44.5,57.9,61.7,70.4,64.9,56.2,47.8,38.2,17.4,43.9,,46.0,65.7,47.4,15.8
1903,13.9,16.1,36.3,45.0,57.4,61.7,68.5,62.8,57.6,47.4,28.5,11.1,42.2,,46.2,64.3,44.5,7.5
1904,6.1,5.4,26.8,38.8,55.6,63.8,66.3,63.7,58.5,46.7,35.9,17.2,40.4,,40.4,64.6,47.0,10.8
1905,6.1,9.0,31.8,43.2,52.9,63.9,67.6,67.1,60.7,45.3,32.7,22.8,41.9,,42.6,66.2,46.2,19.0
1906,19.2,14.9,21.0,47.1,54.8,64.1,67.9,69.8,63.1,46.1,32.5,20.7,43.4,,41.0,67.3,47.2,16.6
1907,11.8,17.2,33.4,35.9,48.1,63.4,68.1,65.0,57.2,44.9,31.9,22.1,41.6,,39.1,65.5,44.7,19.4
1908,18.1,18.1,31.0,44.6,56.2,63.9,69.0,66.0,64.6,48.2,34.0,18.9,44.4,,43.9,66.3,48.9,18.0
1909,15.6,19.5,26.6,37.7,53.6,65.3,69.1,70.2,57.8,43.3,37.9,13.1,42.5,,39.3,68.2,46.3,12.6
1910,12.9,11.7,41.6,47.9,51.4,67.8,71.8,67.8,57.6,50.4,26.3,15.5,43.6,,47.0,69.1,44.8,17.2
1911,13.3,22.7,32.4,42.6,60.8,70.2,69.8,65.4,58.4,44.7,25.1,24.7,44.2,,45.3,68.5,42.7,10.3
1912,-4.8,11.1,20.9,45.9,55.9,63.4,69.1,63.9,59.9,48.2,34.3,23.8,41.0,,40.9,65.5,47.5,16.7
1913,14.8,11.5,25.1,46.2,54.2,67.7,68.6,68.2,59.4,45.6,37.2,28.2,43.9,,41.8,68.2,47.4,19.2
1914,21.4,7.9,27.7,42.2,58.4,64.1,72.1,67.0,59.2,52.7,33.0,12.4,43.2,,42.8,67.7,48.3,16.0
1915,11.5,24.0,26.8,52.9,50.4,60.0,65.6,62.2,59.6,48.3,34.2,20.0,43.0,,43.4,62.6,47.4,15.8
1916,15.0,12.3,25.0,43.4,54.8,60.1,76.2,69.7,57.2,46.4,30.9,12.8,42.0,,41.1,68.7,44.8,8.8
1917,8.3,5.2,27.0,41.1,51.1,61.0,71.0,65.2,56.6,36.9,34.7,11.2,39.1,,39.7,65.7,42.7,9.3
1918,2.2,14.5,35.2,40.4,59.1,64.6,68.1,69.5,53.0,49.3,36.1,26.8,43.2,,44.9,67.4,46.1,22.3
1919,20.7,19.5,31.0,44.0,54.0,70.1,71.9,66.1,61.5,46.2,28.6,8.5,43.5,,43.0,69.4,45.4,9.4
1920,5.8,14.0,30.0,38.3,54.7,67.3,67.2,65.9,62.1,54.0,30.9,22.3,42.7,,41.0,66.8,49.0,21.9
1921,21.0,22.5,34.4,49.6,59.0,71.0,76.7,68.5,63.4,48.3,27.2,19.4,46.8,,47.7,72.1,46.3,14.7
1922,10.3,14.4,29.6,43.7,61.8,66.6,67.7,68.6,62.0,49.9,38.1,17.4,44.2,,45.0,67.6,50.0,14.3
1923,16.5,9.1,21.6,40.7,55.5,69.6,72.0,65.2,59.0,45.4,35.9,29.4,43.3,,39.3,68.9,46.8,17.2
1924,3.7,18.6,26.3,41.7,48.7,61.4,66.6,65.4,54.2,52.7,32.6,10.4,40.2,,38.9,64.5,46.5,14.8
1925,13.8,20.3,32.0,49.4,51.9,66.1,68.0,67.6,62.8,37.2,30.7,14.2,42.8,,44.4,67.2,43.6,16.3
1926,14.4,20.4,21.5,39.8,57.3,60.4,69.1,67.0,56.4,44.4,26.7,14.3,41.0,,39.5,65.5,42.5,16.0
1927,11.0,22.8,34.9,43.4,52.5,62.1,67.5,62.2,61.2,49.7,32.0,12.4,42.6,,43.6,63.9,47.6,16.1
1928,16.6,19.3,29.4,37.8,57.5,60.4,69.5,67.6,55.4,49.1,34.6,23.4,43.4,,41.6,65.8,46.4,11.2
1929,1.8,8.3,32.2,46.1,52.2,63.0,70.0,65.9,58.4,46.7,28.2,18.8,41.0,,43.5,66.3,44.4,16.7
1930,7.5,23.8,29.5,45.3,56.7,66.3,71.5,69.2,60.6,46.0,36.1,20.4,44.4,,43.8,69.0,47.6,23.6
1931,22.2,28.1,29.6,46.1,53.7,69.8,73.9,67.4,65.4,51.7,39.8,28.8,48.0,,43.1,70.4,52.3,23.4
1932,21.3,20.0,21.8,42.1,56.3,68.4,71.2,68.8,57.8,44.8,28.5,18.0,43.3,,40.1,69.5,43.7,19.0
1933,24.6,14.3,28.1,42.0,56.6,73.6,72.2,66.2,63.9,44.6,29.0,17.5,44.4,,42.2,70.7,45.8,18.0
1934,22.0,14.4,26.2,42.3,63.2,70.2,71.7,65.2,57.7,50.1,36.9,15.2,44.6,,43.9,69.0,48.2,15.2
1935,10.6,19.7,31.0,41.9,51.1,61.3,74.8,68.2,58.7,47.0,29.7,17.6,42.6,,41.3,68.1,45.1,8.7
1936,7.1,1.4,30.1,38.1,61.7,63.5,75.3,71.0,62.2,44.2,29.4,22.8,42.2,,43.3,69.9,45.3,15.9
1937,10.4,14.4,25.4,41.4,56.9,65.0,72.7,73.3,60.0,43.7,29.3,15.8,42.4,,41.2,70.3,44.3,17.0
1938,13.2,22.1,35.7,45.2,55.2,64.4,69.8,70.3,58.8,52.4,33.3,19.3,45.0,,45.4,68.2,48.2,17.8
1939,20.6,13.4,28.3,40.9,60.4,66.4,71.9,68.2,62.0,47.2,33.8,27.2,45.0,,43.2,68.8,47.7,18.3
1940,7.6,20.1,23.4,40.8,53.0,65.1,71.2,66.0,60.2,49.8,29.6,21.1,42.3,,39.1,67.4,46.5,17.8
1941,17.0,15.2,23.7,49.8,60.4,66.7,71.0,68.6,61.2,48.4,35.7,26.8,45.4,,44.6,68.8,48.4,19.9
1942,16.2,16.7,32.6,49.9,54.0,64.6,68.6,66.8,56.5,47.7,32.0,14.6,43.4,,45.5,66.7,45.4,13.9
1943,10.1,17.0,22.3,41.6,54.1,68.3,71.4,68.9,55.0,46.9,28.5,21.4,42.1,,39.3,69.5,43.5,21.9
1944,24.0,20.2,24.8,40.0,60.2,67.8,69.0,69.4,60.0,47.5,37.5,15.9,44.7,,41.7,68.7,48.3,14.5
1945,10.5,17.1,39.4,44.3,51.0,60.3,67.2,67.4,57.8,45.4,31.3,13.6,42.1,,44.9,65.0,44.8,15.9
1946,16.9,17.2,39.1,47.2,53.4,63.9,69.6,65.4,58.2,51.4,33.8,21.9,44.8,,46.6,66.3,47.8,18.3
1947,19.0,14.0,27.3,40.7,49.8,61.9,68.8,74.4,60.9,57.1,26.7,18.5,43.3,,39.3,68.4,48.2,13.7
1948,8.1,14.6,26.8,48.2,54.4,64.6,71.0,69.5,63.1,46.5,36.0,19.2,43.5,,43.1,68.4,48.5,17.1
1949,16.1,16.0,28.5,44.4,58.0,69.0,72.2,68.8,54.6,51.0,33.0,20.6,44.4,,43.6,70.0,46.2,16.5
1950,13.3,15.7,23.2,36.0,54.8,64.8,65.8,62.4,57.5,51.9,27.6,11.4,40.4,,38.0,64.3,45.7,12.5
1951,9.7,16.5,24.2,41.4,59.0,61.7,67.9,63.8,55.0,46.9,23.4,16.7,40.5,,41.5,64.5,41.8,17.6
1952,14.7,21.4,24.8,46.7,54.4,66.8,71.0,65.8,58.8,40.9,34.4,23.0,43.6,,42.0,67.9,44.7,19.7
1953,18.5,17.7,29.8,40.1,55.6,67.6,69.6,68.7,59.2,52.9,37.3,23.2,45.0,,41.8,68.6,49.8,21.5
1954,13.2,28.1,27.5,45.8,50.1,67.9,69.8,65.8,58.4,46.4,35.1,21.2,44.1,,41.1,67.8,46.6,17.2
1955,14.3,16.2,25.9,50.2,58.7,64.2,74.9,72.0,60.1,48.7,27.5,14.2,43.9,,44.9,70.4,45.4,15.1
1956,15.1,15.9,23.5,40.0,54.4,68.3,66.2,67.1,55.8,53.0,31.9,21.7,42.7,,39.3,67.2,46.9,16.9
1957,8.2,20.8,30.0,45.1,53.9,65.5,71.2,67.0,57.0,45.0,31.6,23.0,43.2,,43.0,67.9,44.5,18.3
1958,18.1,13.7,30.5,44.6,55.8,61.0,67.4,68.4,59.6,50.4,34.4,12.8,43.1,,43.6,65.6,48.1,10.7
1959,7.0,12.2,25.7,43.9,60.3,66.6,68.8,71.7,60.3,43.2,23.6,27.5,42.6,,43.3,69.0,42.4,21.9
1960,18.8,19.5,19.5,46.0,54.4,62.2,67.6,68.4,60.5,46.9,35.2,18.0,43.1,,40.0,66.1,47.5,18.9
1961,14.0,24.8,32.0,40.0,53.1,65.5,69.0,68.3,59.3,49.4,32.5,16.7,43.7,,41.7,67.6,47.1,13.6
1962,10.1,14.1,27.1,42.9,60.4,64.6,65.8,67.1,55.4,49.6,33.9,18.7,42.5,,43.5,65.8,46.3,11.0
1963,3.6,10.7,30.5,46.3,53.4,67.4,70.4,65.3,58.7,56.7,37.5,11.1,42.6,,43.4,67.7,51.0,18.1
1964,20.7,22.4,27.9,45.4,60.8,66.0,71.6,65.2,57.3,45.2,36.0,15.3,44.5,,44.7,67.6,46.2,13.7
1965,11.6,14.3,22.3,40.4,59.8,63.9,67.4,65.3,55.6,47.9,33.3,26.8,42.4,,40.8,65.5,45.6,16.9
1966,6.0,17.9,33.2,41.1,51.3,66.4,71.7,65.1,57.2,47.1,33.0,19.1,42.4,,41.9,67.7,45.8,15.8
1967,17.3,10.9,28.9,44.0,50.1,65.6,66.9,63.0,56.9,45.9,29.9,21.5,41.7,,41.0,65.2,44.2,17.3
1968,15.0,15.4,37.5,46.2,52.8,64.8,68.5,67.7,59.1,49.6,33.4,18.8,44.1,,45.5,67.0,47.4,16.5
1969,11.4,19.4,24.0,46.0,56.3,57.8,68.9,69.4,58.1,44.8,31.4,20.5,42.3,,42.1,65.4,44.8,14.5
1970,7.0,16.0,26.3,45.2,56.5,66.6,71.1,67.8,59.3,49.5,32.2,18.8,43.0,,42.7,68.5,47.0,14.0
1971,7.0,16.1,25.1,43.3,52.6,69.1,66.4,65.0,61.2,54.3,33.6,22.1,43.0,,40.3,66.8,49.7,14.8
1972,8.8,13.4,24.3,39.3,59.6,63.2,67.4,67.1,57.8,43.9,31.9,15.3,41.0,,41.1,65.9,44.5,18.4
1973,18.9,20.9,38.6,42.0,51.8,66.7,71.0,69.4,58.8,53.1,33.0,18.3,45.2,,44.1,69.0,48.3,16.8
1974,15.6,16.6,29.7,46.1,52.4,61.9,71.2,65.8,54.1,47.2,34.6,23.9,43.3,,42.7,66.3,45.3,19.1
1975,16.4,17.1,23.7,37.4,59.6,65.2,70.5,67.9,54.0,49.9,38.0,20.7,43.4,,40.2,67.9,47.3,18.5
1976,10.6,24.2,31.2,46.6,53.4,67.5,70.9,66.2,57.1,42.3,25.1,9.4,42.0,,43.7,68.2,41.5,10.1
1977,1.3,19.6,36.9,50.3,63.9,63.7,72.6,64.0,59.2,46.4,32.2,16.1,43.9,,50.4,66.8,45.9,11.5
1978,8.1,10.2,26.6,41.9,57.4,64.3,67.6,67.8,62.5,45.9,31.9,16.3,41.7,,42.0,66.6,46.8,9.6
1979,3.7,8.9,28.8,40.9,53.1,64.3,69.0,65.4,60.2,45.0,31.9,25.3,41.4,,40.9,66.2,45.7,18.2
1980,14.5,14.7,25.6,45.8,58.1,64.2,71.4,68.1,58.3,42.4,34.1,19.0,43.0,,43.2,67.9,44.9,19.1
1981,16.0,22.2,34.2,46.8,54.2,65.5,69.1,67.2,56.5,44.2,35.9,19.0,44.2,,45.1,67.3,45.5,13.3
1982,4.8,16.1,27.8,40.2,60.5,59.4,70.3,65.2,57.2,48.2,32.3,26.5,42.4,,42.8,65.0,45.9,24.2
1983,20.1,26.0,32.4,40.8,50.4,65.7,73.5,71.4,59.6,47.5,35.4,8.6,44.3,,41.2,70.2,47.5,16.5
