,,,,,,,Wisconsin State Climatology Office,,,,,,,,,,,
,,,,Average Temperature  [degrees Fahrenheit]: Southeast Wisconsin,,,,,,,,,,,,,,
,Data Source: National Centers for Environmental Information,,,,,,,,,Jan 1895 -Jun 2018,,,,,SPRING ,SUMMER,FALL ,WINTER
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,,MAM,JJA,SON,DJF
1895,12.3,12.2,29.1,46.8,57.4,68.6,68.8,70.5,65.2,43.0,31.8,25.6,44.3,,44.4,69.3,46.7,23.6
1896,22.4,22.8,27.4,49.9,64.0,67.7,71.1,70.4,57.2,44.7,32.8,27.7,46.5,,47.1,69.7,44.9,24.1
1897,19.4,25.3,29.8,44.0,54.4,64.2,73.2,66.3,66.2,54.2,33.4,19.2,45.8,,42.7,67.9,51.3,21.6
1898,22.8,22.7,36.2,44.5,56.2,67.9,71.8,68.8,63.5,47.6,32.5,18.7,46.1,,45.6,69.5,47.9,16.5
1899,17.6,13.1,24.6,48.3,57.2,68.0,70.6,71.0,59.2,53.7,40.3,23.4,45.6,,43.4,69.9,51.1,20.6
1900,24.0,14.5,26.1,47.3,59.3,65.5,69.8,74.1,62.5,56.4,32.1,25.9,46.5,,44.2,69.8,50.3,19.5
1901,20.0,12.5,30.3,46.0,55.7,68.2,77.0,70.3,60.9,51.7,33.0,20.8,45.5,,44.0,71.8,48.5,19.8
1902,20.6,17.9,37.1,44.9,58.2,62.7,71.2,65.6,57.8,51.2,42.1,22.2,46.0,,46.7,66.5,50.4,20.8
1903,19.4,20.9,38.9,46.5,58.4,62.4,70.3,65.5,60.8,49.7,32.0,15.4,45.0,,47.9,66.1,47.5,12.4
1904,11.3,10.6,30.8,39.8,56.4,64.7,69.2,65.3,60.5,50.0,38.1,20.9,43.1,,42.3,66.4,49.5,15.1
1905,12.1,12.4,35.1,45.0,55.1,65.2,68.4,69.3,63.2,48.2,34.9,26.2,44.6,,45.1,67.6,48.8,24.2
1906,25.5,20.8,26.0,47.6,56.6,65.9,70.0,71.7,65.7,48.9,35.6,26.0,46.7,,43.4,69.2,50.1,22.2
1907,19.5,21.2,38.4,37.9,50.1,64.7,70.4,66.4,59.9,46.9,34.1,26.0,44.6,,42.1,67.2,47.0,23.2
1908,22.6,21.1,35.1,45.4,57.1,65.4,71.2,68.7,66.5,50.0,36.2,23.6,46.9,,45.9,68.4,50.9,23.7
1909,21.9,25.5,31.4,40.9,54.7,65.2,70.0,71.2,59.9,45.9,41.9,16.5,45.4,,42.3,68.8,49.2,17.0
1910,17.5,17.0,43.2,47.9,51.7,67.2,74.0,69.8,60.0,53.4,30.0,20.6,46.0,,47.6,70.3,47.8,22.4
1911,20.3,26.3,34.8,43.0,62.2,70.8,72.7,68.2,62.2,47.9,29.7,28.7,47.2,,46.7,70.6,46.6,15.0
1912,2.0,14.4,23.2,46.4,57.3,64.0,69.8,66.2,62.0,50.3,36.6,28.1,43.4,,42.3,66.7,49.6,22.1
1913,21.0,17.1,29.7,46.7,55.6,68.3,70.7,69.7,60.5,48.2,40.3,31.6,46.6,,44.0,69.6,49.7,23.3
1914,25.9,12.3,30.6,44.5,58.8,65.8,72.2,69.3,61.0,54.0,36.8,16.8,45.7,,44.6,69.1,50.6,20.1
1915,15.0,28.4,30.5,53.1,51.2,61.0,66.4,62.9,62.2,50.8,37.8,23.8,45.3,,44.9,63.4,50.3,21.1
1916,22.7,16.8,28.6,44.6,55.5,60.8,76.9,71.6,58.6,48.3,35.3,18.9,44.9,,42.9,69.8,47.4,15.3
1917,15.1,11.8,32.5,41.9,51.0,61.8,70.7,66.5,59.1,40.5,36.8,16.3,42.0,,41.8,66.3,45.5,14.2
1918,6.2,20.1,37.9,41.8,60.1,64.9,68.8,72.4,55.6,53.2,38.0,31.3,45.9,,46.6,68.7,48.9,26.4
1919,23.8,24.2,33.9,45.2,53.9,70.6,74.2,68.6,63.9,50.8,32.8,13.9,46.3,,44.3,71.1,49.2,14.6
1920,11.2,18.7,33.6,39.6,54.2,67.4,68.3,66.7,65.1,56.1,34.5,26.9,45.2,,42.5,67.5,51.9,26.8
1921,25.9,27.5,39.5,50.5,59.5,71.5,77.8,69.5,65.2,50.0,32.9,25.0,49.6,,49.8,72.9,49.4,21.6
