,,,,,,,Wisconsin State Climatology Office,,,,,,,,,,,
,,,,Average Temperature  [degrees Fahrenheit]: North central Wisconsin,,,,,,,,,,,,,,
,Data Source: National Centers for Environmental Information,,,,,,,,,Jan 1895 -Jun 2018,,,,,SPRING ,SUMMER,FALL ,WINTER
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,,MAM,JJA,SON,DJF
1895,5.6,7.0,22.3,44.2,54.4,64.4,64.2,65.3,59.4,37.5,26.8,17.2,39.0,,40.3,64.6,41.2,14.7
1896,12.0,14.8,19.8,43.2,59.1,64.5,66.4,65.2,52.2,39.6,21.3,18.7,39.7,,40.7,65.4,37.7,14.9
1897,10.0,16.1,21.5,39.8,50.1,59.5,69.4,61.2,61.2,47.2,24.8,10.6,39.3,,37.1,63.4,44.4,14.0
1898,15.8,15.7,28.8,39.0,53.0,64.2,68.6,63.8,59.1,42.0,27.2,9.7,40.6,,40.3,65.5,42.8,5.9
1899,5.9,2.0,13.5,42.7,53.0,63.1,67.0,66.6,52.2,47.6,35.7,15.1,38.7,,36.4,65.6,45.2,11.8
1900,16.0,4.3,19.1,44.5,54.9,63.1,65.2,70.8,57.4,53.0,25.3,17.6,40.9,,39.5,66.4,45.2,12.2
1901,10.9,8.0,22.5,43.6,54.0,64.4,70.4,65.3,55.1,46.2,26.2,12.5,39.9,,40.0,66.7,42.5,12.6
1902,12.5,12.7,32.1,40.0,54.7,58.7,67.8,62.6,53.5,43.4,33.0,14.2,40.4,,42.3,63.0,43.3,11.8
1903,9.9,11.3,31.3,40.8,54.2,59.0,65.0,59.6,54.2,45.6,25.6,7.3,38.7,,42.1,61.2,41.8,4.0
1904,3.3,1.4,22.9,35.1,52.2,61.7,63.6,61.2,54.8,43.3,33.3,14.2,37.3,,36.7,62.2,43.8,8.3
1905,3.7,7.0,28.1,39.4,50.9,61.3,64.9,65.0,58.2,42.2,29.1,19.1,39.1,,39.5,63.7,43.2,15.6
1906,16.3,11.4,15.9,43.8,51.1,62.1,65.3,66.2,61.2,43.3,29.6,16.9,40.3,,36.9,64.5,44.7,12.4
1907,6.6,13.6,27.9,31.6,44.4,62.5,64.9,62.3,54.2,42.0,28.5,18.5,38.1,,34.6,63.2,41.6,16.0
1908,13.8,15.8,25.2,41.7,52.9,61.8,66.9,63.2,62.1,46.7,31.2,15.4,41.4,,39.9,64.0,46.7,14.3
1909,12.1,15.5,23.5,33.0,50.1,63.6,65.5,67.3,55.1,41.9,34.3,12.4,39.5,,35.5,65.5,43.8,10.7
1910,11.0,8.8,38.2,45.6,48.0,64.4,67.2,63.9,54.4,47.1,23.9,13.2,40.5,,43.9,65.2,41.8,13.4
1911,9.4,17.7,28.8,39.8,57.3,67.5,65.5,61.7,54.2,41.4,21.3,21.4,40.5,,42.0,64.9,39.0,7.1
1912,-8.2,8.1,18.3,41.9,53.2,59.9,66.1,59.7,56.3,45.5,31.2,19.0,37.6,,37.8,61.9,44.3,12.1
1913,10.4,6.8,19.6,42.8,50.6,64.6,64.8,65.3,55.9,42.6,34.4,25.1,40.2,,37.7,64.9,44.3,15.4
1914,17.4,3.7,23.0,37.9,55.0,60.5,68.9,62.6,56.2,50.2,29.1,9.6,39.5,,38.6,64.0,45.2,13.2
1915,8.5,21.6,23.4,49.3,48.0,57.1,62.1,58.8,55.8,44.8,30.2,16.7,39.7,,40.2,59.3,43.6,11.3
1916,9.0,8.3,19.5,39.0,50.8,57.2,72.6,65.8,53.6,43.2,27.3,9.2,38.0,,36.4,65.2,41.4,4.9
1917,4.2,1.3,22.9,36.4,47.0,57.3,66.7,60.2,53.8,33.9,32.3,6.4,35.2,,35.4,61.4,40.0,5.3
1918,-0.6,10.2,31.0,38.0,55.0,60.8,64.7,64.6,48.9,44.8,33.1,23.0,39.5,,41.3,63.4,42.3,18.5
1919,17.6,14.9,26.5,40.4,51.8,67.0,67.7,62.4,57.2,41.2,24.7,4.8,39.7,,39.6,65.7,41.0,5.9
1920,2.0,10.9,26.0,34.0,52.5,63.4,63.6,62.8,58.7,51.6,27.5,18.9,39.3,,37.5,63.3,45.9,18.1
1921,16.7,18.6,28.0,45.6,55.6,67.5,72.4,64.3,59.2,46.0,23.5,15.2,42.7,,43.1,68.1,42.9,10.5
1922,7.1,9.3,25.9,39.6,59.0,62.9,64.0,64.8,58.3,46.2,34.2,12.6,40.3,,41.5,63.9,46.2,9.7
1923,12.0,4.4,15.9,36.3,52.6,66.2,68.4,60.7,56.4,42.5,33.0,25.2,39.5,,34.9,65.1,44.0,14.0
1924,0.7,16.2,23.5,37.5,44.8,58.2,63.0,61.3,51.4,50.3,28.6,5.1,36.7,,35.3,60.8,43.4,10.2
1925,9.9,15.7,27.4,45.8,48.5,62.8,65.0,65.6,58.3,34.3,27.2,12.3,39.4,,40.6,64.5,39.9,12.8
1926,10.4,15.8,18.2,36.0,54.4,57.5,65.7,63.3,52.4,41.3,23.1,11.0,37.4,,36.2,62.2,38.9,11.7
1927,6.3,17.7,30.6,40.1,49.1,59.0,63.4,59.0,58.0,46.2,26.7,6.7,38.6,,39.9,60.5,43.6,10.4
1928,10.8,13.6,23.5,33.4,53.9,57.0,66.5,64.1,51.7,44.8,31.4,19.9,39.2,,36.9,62.5,42.6,7.3
1929,-2.7,4.7,27.1,41.8,48.9,59.9,67.0,62.9,54.7,43.7,25.2,14.3,37.3,,39.3,63.3,41.2,12.3
1930,3.4,19.3,25.4,42.0,53.8,63.3,67.1,65.9,56.2,42.8,33.3,17.2,40.8,,40.4,65.4,44.1,20.1
1931,18.8,24.2,26.5,43.1,51.3,66.0,69.5,63.0,61.5,48.9,36.2,24.7,44.5,,40.3,66.2,48.9,19.2
1932,18.0,14.8,17.5,38.8,52.7,65.0,67.0,65.8,54.4,41.3,25.0,12.8,39.4,,36.3,65.9,40.2,12.8
